Wall time,Step,Value
1620878881.787961,0,0.16439999639987946
1620878901.810991,1,0.2298000007867813
1620878921.826053,2,0.25220000743865967
1620878941.701628,3,0.2581999897956848
1620878961.591984,4,0.27239999175071716
1620878981.482309,5,0.2667999863624573
1620879001.50046,6,0.2662000060081482
1620879021.400733,7,0.2709999978542328
1620879041.262815,8,0.262800008058548
1620879061.247446,9,0.28200000524520874
1620879080.938408,10,0.2757999897003174
1620879100.534762,11,0.27900001406669617
1620879120.256151,12,0.2978000044822693
1620879140.044304,13,0.3102000057697296
1620879159.82011,14,0.3149999976158142
1620879179.578234,15,0.32199999690055847
1620879199.486825,16,0.3319999873638153
1620879219.559308,17,0.3269999921321869
1620879239.413438,18,0.33899998664855957
1620879259.045694,19,0.33820000290870667
1620879279.038883,20,0.33660000562667847
1620879298.853985,21,0.3456000089645386
1620879318.466794,22,0.35260000824928284
1620879338.202085,23,0.35499998927116394
1620879358.217925,24,0.3497999906539917
1620879378.174133,25,0.3531999886035919
1620879398.033019,26,0.36239999532699585
1620879417.791007,27,0.36039999127388
1620879437.791779,28,0.35920000076293945
1620879457.460915,29,0.3643999993801117
1620879477.129873,30,0.36579999327659607
1620879496.881962,31,0.35899999737739563
1620879516.799609,32,0.3653999865055084
1620879536.561846,33,0.37720000743865967
1620879556.177045,34,0.37059998512268066
1620879575.837318,35,0.3758000135421753
1620879595.711607,36,0.3776000142097473
1620879615.503107,37,0.376800000667572
1620879635.018393,38,0.3815999925136566
1620879654.622131,39,0.38119998574256897
1620879674.467157,40,0.37880000472068787
1620879694.038015,41,0.3765999972820282
1620879713.577031,42,0.3874000012874603
1620879733.210333,43,0.37720000743865967
1620879753.076933,44,0.39340001344680786
1620879772.58652,45,0.387800008058548
1620879792.108279,46,0.38760000467300415
1620879811.717452,47,0.3898000121116638
1620879831.450403,48,0.38940000534057617
1620879850.897947,49,0.387800008058548
1620879870.275065,50,0.4027999937534332
1620879890.108051,51,0.4059999883174896
1620879909.745835,52,0.4156000018119812
1620879929.170045,53,0.40299999713897705
1620879948.729508,54,0.41280001401901245
1620879968.467301,55,0.41260001063346863
1620879987.95256,56,0.420199990272522
1620880007.347184,57,0.4156000018119812
1620880027.163256,58,0.42100000381469727
1620880047.070258,59,0.4327999949455261
1620880067.011021,60,0.4296000003814697
1620880087.125606,61,0.43220001459121704
1620880107.054375,62,0.43540000915527344
1620880127.089097,63,0.4350000023841858
1620880147.037739,64,0.4381999969482422
1620880167.231711,65,0.4357999861240387
1620880187.353455,66,0.44699999690055847
1620880207.394301,67,0.4410000145435333
1620880227.615922,68,0.4440000057220459
1620880247.583021,69,0.446399986743927
