Wall time,Step,Value
1620878813.581324,0,0.25279998779296875
1620879022.482502,1,0.414000004529953
1620879234.729861,2,0.49000000953674316
1620879445.136488,3,0.5353999733924866
1620879657.905938,4,0.5789999961853027
1620879868.419008,5,0.6025999784469604
1620880078.753299,6,0.6248000264167786
1620880288.717343,7,0.6399999856948853
1620880499.41723,8,0.6656000018119812
1620880713.411186,9,0.6664000153541565
1620880926.025591,10,0.6850000023841858
1620881140.267753,11,0.7027999758720398
1620881353.294889,12,0.7106000185012817
1620881566.951738,13,0.7228000164031982
1620881779.44718,14,0.734000027179718
1620881993.622137,15,0.741599977016449
1620882205.196923,16,0.7541999816894531
1620882418.536202,17,0.7692000269889832
1620882631.461165,18,0.7712000012397766
1620882847.583558,19,0.7781999707221985
1620883057.292747,20,0.7896000146865845
1620883270.929187,21,0.8014000058174133
1620883485.352597,22,0.8014000058174133
1620883699.418441,23,0.8140000104904175
1620883913.775984,24,0.8205999732017517
1620884125.131866,25,0.8313999772071838
1620884338.795141,26,0.83160001039505
1620884551.090367,27,0.8424000144004822
1620884763.670869,28,0.8393999934196472
1620884973.740745,29,0.8497999906539917
1620885186.654962,30,0.8637999892234802
1620885399.159617,31,0.8659999966621399
1620885611.43022,32,0.868399977684021
1620885823.13942,33,0.8795999884605408
1620886032.713518,34,0.8777999877929688
1620886244.484627,35,0.8867999911308289
1620886456.521356,36,0.8980000019073486
1620886667.78178,37,0.8931999802589417
1620886879.38922,38,0.9014000296592712
1620887088.762725,39,0.900600016117096
1620887300.313307,40,0.9092000126838684
1620887508.934337,41,0.9147999882698059
1620887722.487512,42,0.9151999950408936
1620887933.46476,43,0.9210000038146973
1620888147.350019,44,0.9297999739646912
1620888357.127877,45,0.9305999875068665
1620888568.206068,46,0.9333999752998352
1620888780.963451,47,0.9362000226974487
1620888992.508513,48,0.9419999718666077
1620889204.596839,49,0.9423999786376953
1620889412.021398,50,0.9455999732017517
1620889622.318226,51,0.9459999799728394
1620889834.98783,52,0.9539999961853027
1620890043.606374,53,0.9534000158309937
1620890255.520397,54,0.9467999935150146
1620890464.888918,55,0.9563999772071838
1620890668.630433,56,0.9628000259399414
1620890878.688757,57,0.9577999711036682
1620891088.956469,58,0.9624000191688538
1620891298.513218,59,0.9624000191688538
1620891509.262884,60,0.9674000144004822
1620891713.793765,61,0.9648000001907349
1620891922.6375,62,0.9621999859809875
1620892133.328058,63,0.9661999940872192
1620892342.601348,64,0.9678000211715698
1620892552.259811,65,0.9688000082969666
1620892762.96037,66,0.9742000102996826
1620892973.35889,67,0.9715999960899353
1620893186.664607,68,0.9715999960899353
1620893392.310776,69,0.9753999710083008
