Wall time,Step,Value
1620879460.193421,0,0.21879999339580536
1620879916.074194,1,0.38019999861717224
1620880373.233186,2,0.4392000138759613
1620880829.306291,3,0.501800000667572
1620881290.046973,4,0.5436000227928162
1620881754.052169,5,0.5741999745368958
1620882214.582895,6,0.6047999858856201
1620882678.692245,7,0.6195999979972839
1620883138.060949,8,0.645799994468689
1620883603.137769,9,0.6696000099182129
1620884069.020329,10,0.6909999847412109
1620884534.645195,11,0.7092000246047974
1620885000.82817,12,0.7218000292778015
1620885465.763666,13,0.7473999857902527
1620885928.038807,14,0.7537999749183655
1620886386.209908,15,0.7767999768257141
1620886845.222724,16,0.7851999998092651
1620887302.75866,17,0.8014000058174133
1620887757.009044,18,0.803600013256073
1620888211.288523,19,0.8185999989509583
1620888665.780867,20,0.8230000138282776
1620889118.442875,21,0.8424000144004822
1620889569.623913,22,0.8389999866485596
1620890019.399687,23,0.8622000217437744
1620890464.401894,24,0.8673999905586243
1620890911.352015,25,0.8769999742507935
1620891357.454739,26,0.8873999714851379
1620891799.178441,27,0.8898000121116638
1620892241.047205,28,0.8939999938011169
1620892682.368635,29,0.9065999984741211
1620893123.873094,30,0.9164000153541565
1620893565.598575,31,0.9120000004768372
1620894006.749997,32,0.9151999950408936
1620894448.188891,33,0.9314000010490417
1620894889.37985,34,0.9232000112533569
1620895331.014992,35,0.9344000220298767
1620895772.907487,36,0.9437999725341797
1620896214.985487,37,0.9502000212669373
1620896656.94156,38,0.9422000050544739
1620897099.281077,39,0.9444000124931335
1620897540.719842,40,0.9495999813079834
1620897982.230994,41,0.9571999907493591
1620898423.351113,42,0.9562000036239624
1620898864.678213,43,0.9603999853134155
1620899308.592931,44,0.9589999914169312
1620899753.321736,45,0.9603999853134155
1620900199.544319,46,0.9666000008583069
1620900645.960776,47,0.9678000211715698
1620901091.842746,48,0.9667999744415283
1620901536.807426,49,0.968999981880188
1620901987.290774,50,0.968999981880188
1620902438.216284,51,0.97079998254776
1620902888.973782,52,0.9697999954223633
1620903339.691303,53,0.9757999777793884
1620903791.325914,54,0.9779999852180481
1620904242.297959,55,0.972599983215332
1620904692.444309,56,0.9783999919891357
1620905142.184975,57,0.974399983882904
1620905590.838912,58,0.975600004196167
1620906041.908806,59,0.9771999716758728
1620906492.95518,60,0.9811999797821045
1620906943.732118,61,0.9779999852180481
1620907393.26851,62,0.9824000000953674
1620907842.836812,63,0.9829999804496765
1620908290.798439,64,0.9836000204086304
1620908734.709375,65,0.9847999811172485
1620909178.685534,66,0.9842000007629395
1620909622.380062,67,0.982200026512146
1620910065.868864,68,0.9833999872207642
1620910510.132805,69,0.9819999933242798
