Wall time,Step,Value
1620800040.337543,0,0.3043999969959259
1620800488.861788,1,0.4228000044822693
1620800934.689395,2,0.48080000281333923
1620801381.149741,3,0.5202000141143799
1620801827.247199,4,0.5698000192642212
1620802275.492053,5,0.6110000014305115
1620802726.011731,6,0.6362000107765198
1620803175.046256,7,0.6660000085830688
1620803627.68824,8,0.6873999834060669
1620804079.238651,9,0.7152000069618225
1620804532.731299,10,0.7271999716758728
1620804992.235193,11,0.7414000034332275
1620805450.67538,12,0.7590000033378601
1620805902.848829,13,0.7835999727249146
1620806354.679349,14,0.7886000275611877
1620806805.934258,15,0.796999990940094
1620807264.95306,16,0.8087999820709229
1620807723.222934,17,0.8166000247001648
1620808175.154047,18,0.8240000009536743
1620808628.702654,19,0.8379999995231628
1620809082.616058,20,0.8450000286102295
1620809535.831254,21,0.8547999858856201
1620809987.503647,22,0.8669999837875366
1620810440.417624,23,0.8745999932289124
1620810893.654975,24,0.8841999769210815
1620811347.435953,25,0.890999972820282
1620811798.629363,26,0.8984000086784363
1620812252.927509,27,0.9047999978065491
1620812706.278522,28,0.9101999998092651
1620813158.931405,29,0.9133999943733215
1620813612.536572,30,0.9264000058174133
1620814065.811675,31,0.9282000064849854
1620814517.446638,32,0.932200014591217
1620814963.189176,33,0.9345999956130981
1620815407.604843,34,0.9423999786376953
1620815854.060022,35,0.9466000199317932
1620816301.83843,36,0.9405999779701233
1620816747.055487,37,0.9567999839782715
1620817192.68982,38,0.9524000287055969
1620817637.901709,39,0.9611999988555908
1620818083.432371,40,0.9563999772071838
1620818526.881801,41,0.9631999731063843
1620818962.371146,42,0.9617999792098999
1620819397.828991,43,0.9606000185012817
1620819833.533424,44,0.9666000008583069
1620820268.657233,45,0.972000002861023
1620820703.744527,46,0.9667999744415283
1620821137.618778,47,0.965399980545044
1620821565.675307,48,0.9667999744415283
1620821993.57214,49,0.9739999771118164
1620822421.284778,50,0.9679999947547913
1620822849.04343,51,0.974399983882904
1620823276.996186,52,0.9751999974250793
1620823704.949503,53,0.9746000170707703
1620824132.7745,54,0.9765999913215637
1620824558.325624,55,0.9811999797821045
1620824979.944156,56,0.977400004863739
1620825401.92455,57,0.9810000061988831
1620825823.432672,58,0.9832000136375427
1620826245.222627,59,0.9825999736785889
1620826666.72723,60,0.9811999797821045
1620827088.454327,61,0.9810000061988831
1620827509.900298,62,0.982200026512146
1620827931.420373,63,0.9846000075340271
1620828352.938291,64,0.9860000014305115
1620828774.596505,65,0.9829999804496765
1620829196.190807,66,0.9846000075340271
1620829618.796126,67,0.9901999831199646
1620830040.576779,68,0.9860000014305115
1620830462.124284,69,0.982200026512146
