Wall time,Step,Value
1620793676.267767,0,0.31139999628067017
1620794135.641909,1,0.430400013923645
1620794594.796025,2,0.5058000087738037
1620795050.814203,3,0.5464000105857849
1620795505.710128,4,0.5824000239372253
1620795963.082848,5,0.6251999735832214
1620796422.655711,6,0.6460000276565552
1620796880.646499,7,0.6610000133514404
1620797335.770587,8,0.696399986743927
1620797788.065292,9,0.7170000076293945
1620798239.091669,10,0.7310000061988831
1620798689.74438,11,0.746999979019165
1620799139.790882,12,0.7599999904632568
1620799599.837888,13,0.7861999869346619
1620800058.737562,14,0.7914000153541565
1620800513.697716,15,0.8050000071525574
1620800966.536791,16,0.8118000030517578
1620801421.476928,17,0.8222000002861023
1620801869.44525,18,0.8410000205039978
1620802325.184126,19,0.8478000164031982
1620802777.578866,20,0.8610000014305115
1620803224.144446,21,0.8600000143051147
1620803666.266641,22,0.8686000108718872
1620804108.431221,23,0.8862000107765198
1620804547.560489,24,0.8881999850273132
1620804995.458835,25,0.8885999917984009
1620805448.407719,26,0.9088000059127808
1620805900.898058,27,0.9052000045776367
1620806353.080649,28,0.9103999733924866
1620806800.452971,29,0.9232000112533569
1620807249.379531,30,0.9247999787330627
1620807698.559833,31,0.9291999936103821
1620808146.694485,32,0.9264000058174133
1620808592.038678,33,0.9386000037193298
1620809041.749565,34,0.9401999711990356
1620809487.268019,35,0.9476000070571899
1620809945.071024,36,0.9426000118255615
1620810391.215458,37,0.949999988079071
1620810834.986621,38,0.9545999765396118
1620811285.914194,39,0.9553999900817871
1620811738.183571,40,0.9584000110626221
1620812192.254159,41,0.9617999792098999
1620812645.662694,42,0.9660000205039978
1620813097.160162,43,0.9649999737739563
1620813544.441604,44,0.9661999940872192
1620814113.25989,45,0.9685999751091003
