Wall time,Step,Value
1620854912.961604,0,0.18019999563694
1620854932.546429,1,0.24979999661445618
1620854952.223097,2,0.2768000066280365
1620854971.837212,3,0.2879999876022339
1620854991.482626,4,0.29260000586509705
1620855011.229782,5,0.31040000915527344
1620855030.843147,6,0.31299999356269836
1620855050.479073,7,0.321399986743927
1620855070.081565,8,0.3287999927997589
1620855089.73952,9,0.3418000042438507
1620855109.348169,10,0.34040001034736633
1620855128.946441,11,0.34459999203681946
1620855148.66716,12,0.35420000553131104
1620855168.35067,13,0.3630000054836273
1620855188.128449,14,0.35899999737739563
1620855207.975815,15,0.3653999865055084
1620855227.742416,16,0.3752000033855438
1620855247.441188,17,0.38019999861717224
1620855267.193831,18,0.38519999384880066
1620855286.810295,19,0.3928000032901764
1620855306.365211,20,0.399399995803833
1620855325.818473,21,0.4174000024795532
1620855345.436347,22,0.4189999997615814
1620855365.142168,23,0.4228000044822693
1620855384.773954,24,0.43059998750686646
1620855404.409434,25,0.4343999922275543
1620855424.018257,26,0.4350000023841858
1620855443.629717,27,0.4302000105381012
1620855463.312822,28,0.4426000118255615
1620855482.967245,29,0.4424000084400177
1620855502.601289,30,0.44339999556541443
1620855522.25176,31,0.4374000132083893
1620855541.841771,32,0.44179999828338623
1620855561.460972,33,0.4519999921321869
1620855581.017888,34,0.44780001044273376
1620855600.541554,35,0.45399999618530273
1620855620.284023,36,0.4528000056743622
1620855639.879596,37,0.453000009059906
1620855659.400883,38,0.46320000290870667
1620855678.765019,39,0.45680001378059387
1620855698.220002,40,0.4620000123977661
1620855717.667297,41,0.47380000352859497
1620855737.124016,42,0.4758000075817108
1620855756.607623,43,0.4814000129699707
1620855776.018338,44,0.4893999993801117
1620855795.489909,45,0.4936000108718872
1620855814.98529,46,0.4896000027656555
1620855834.589288,47,0.49300000071525574
1620855854.075844,48,0.49380001425743103
1620855873.59948,49,0.5016000270843506
1620855893.122266,50,0.5080000162124634
1620855912.706303,51,0.5044000148773193
1620855932.3116,52,0.5108000040054321
1620855951.75228,53,0.5108000040054321
1620855971.30529,54,0.5138000249862671
1620855990.844254,55,0.5085999965667725
1620856010.380385,56,0.5156000256538391
1620856029.922023,57,0.5157999992370605
1620856049.362752,58,0.5120000243186951
1620856068.850264,59,0.5121999979019165
1620856088.359978,60,0.5198000073432922
1620856107.808298,61,0.5248000025749207
1620856127.319323,62,0.5188000202178955
1620856146.835814,63,0.5253999829292297
1620856166.252151,64,0.5210000276565552
1620856185.686337,65,0.5228000283241272
1620856205.105692,66,0.524399995803833
1620856224.584119,67,0.525600016117096
1620856244.037254,68,0.5342000126838684
1620856263.517884,69,0.5238000154495239
