Wall time,Step,Value
1620613357.224194,0,0.23399999737739563
1620613376.873812,1,0.3125999867916107
1620613396.538876,2,0.34940001368522644
1620613416.327872,3,0.3747999966144562
1620613436.21107,4,0.3840000033378601
1620613456.004079,5,0.4034000039100647
1620613475.898154,6,0.4275999963283539
1620613495.762698,7,0.4339999854564667
1620613515.629708,8,0.4551999866962433
1620613535.530378,9,0.4564000070095062
1620613555.423512,10,0.46239998936653137
1620613575.211879,11,0.46799999475479126
1620613595.080738,12,0.4814000129699707
1620613614.9666,13,0.4830000102519989
1620613634.886002,14,0.4864000082015991
1620613654.69529,15,0.49059998989105225
1620613674.441891,16,0.5019999742507935
1620613694.031882,17,0.49900001287460327
1620613713.660157,18,0.503600001335144
1620613733.286725,19,0.5123999714851379
1620613752.950998,20,0.5163999795913696
1620613772.550044,21,0.521399974822998
1620613792.156124,22,0.5202000141143799
1620613811.86517,23,0.5281999707221985
1620613831.586697,24,0.52920001745224
1620613851.310509,25,0.5288000106811523
1620613870.96878,26,0.5350000262260437
1620613890.6032,27,0.5397999882698059
1620613910.060642,28,0.5378000140190125
1620613929.481701,29,0.5443999767303467
1620613948.94906,30,0.546999990940094
1620613968.449296,31,0.5483999848365784
1620613987.773858,32,0.5415999889373779
1620614007.177501,33,0.5418000221252441
1620614026.604489,34,0.5523999929428101
1620614046.033714,35,0.5422000288963318
1620614065.46416,36,0.5591999888420105
1620614084.962636,37,0.5540000200271606
1620614104.328421,38,0.5514000058174133
1620614123.717251,39,0.5604000091552734
1620614143.166884,40,0.5636000037193298
1620614162.645591,41,0.5631999969482422
1620614182.074949,42,0.5590000152587891
1620614201.592928,43,0.5663999915122986
1620614220.991706,44,0.5641999840736389
1620614240.463535,45,0.5651999711990356
1620614259.53715,46,0.5698000192642212
1620614278.167954,47,0.5722000002861023
1620614296.854914,48,0.5774000287055969
1620614315.448584,49,0.5722000002861023
1620614333.99231,50,0.5817999839782715
1620614352.634863,51,0.579800009727478
1620614371.269033,52,0.576200008392334
1620614389.931267,53,0.5748000144958496
1620614408.485073,54,0.579800009727478
1620614427.040618,55,0.5740000009536743
1620614445.686192,56,0.5777999758720398
1620614464.263074,57,0.5861999988555908
1620614482.877327,58,0.5874000191688538
1620614501.57579,59,0.5843999981880188
1620614520.227103,60,0.5892000198364258
1620614538.805507,61,0.5899999737739563
1620614557.43192,62,0.5878000259399414
1620614576.082391,63,0.590399980545044
1620614594.685066,64,0.592199981212616
1620614613.336252,65,0.5934000015258789
1620614632.029054,66,0.5978000164031982
1620614650.613863,67,0.5928000211715698
1620614669.247484,68,0.5845999717712402
1620614687.895536,69,0.593999981880188
1620614706.612724,70,0.5910000205039978
1620614725.280817,71,0.5938000082969666
1620614743.91829,72,0.5906000137329102
1620614762.55939,73,0.5971999764442444
1620614781.207098,74,0.5968000292778015
1620614799.890866,75,0.59579998254776
1620614818.552478,76,0.5961999893188477
1620614837.172171,77,0.6014000177383423
1620614855.841356,78,0.597599983215332
1620614874.405932,79,0.6003999710083008
1620614893.010025,80,0.5985999703407288
1620614911.580338,81,0.6015999913215637
1620614930.212424,82,0.6092000007629395
1620614948.89237,83,0.5989999771118164
1620614967.388172,84,0.6083999872207642
1620614985.765173,85,0.6065999865531921
1620615004.198721,86,0.6122000217437744
1620615022.615807,87,0.5965999960899353
1620615040.950219,88,0.605400025844574
1620615059.376112,89,0.6068000197410583
1620615077.800139,90,0.6128000020980835
1620615096.261601,91,0.61080002784729
1620615114.247932,92,0.6128000020980835
1620615131.589666,93,0.6100000143051147
1620615149.073404,94,0.6115999817848206
1620615166.508763,95,0.6146000027656555
1620615183.977064,96,0.6179999709129333
1620615201.469573,97,0.6132000088691711
1620615218.977967,98,0.6137999892234802
1620615236.508183,99,0.6158000230789185
